feature_1,feature_2,correlation_value
spearman_productive_activity_frequency,activity_rest_minutes,0.13181659775836427
spearman_productive_activity_frequency,activity_score_move_every_hour,0.15773984554873496
spearman_productive_activity_frequency,sleep_bedtime_end_delta,-0.10106762549570555
spearman_productive_activity_frequency,sleep_midpoint_time,0.10026379331471598
spearman_productive_activity_frequency,sleep_score,0.15685780130940188
spearman_productive_activity_frequency,sleep_score_alignment,0.10208228927269182
spearman_productive_activity_frequency,sleep_score_rem,0.11016907182015138
spearman_productive_activity_frequency,sleep_score_total,0.1578855880632075
spearman_productive_activity_frequency,sleep_temperature_delta_celsius,-0.14219743366770934
spearman_productive_activity_frequency,sleep_temperature_deviation,-0.14219743366770934
spearman_productive_activity_frequency,sleep_temperature_trend_deviation,-0.1696017688408528
spearman_productive_activity_frequency,readiness_score_previous_day,0.15835781707269714
spearman_productive_activity_frequency,readiness_score_previous_night,0.12418603407916853
spearman_productive_activity_frequency,readiness_score_recovery_index,0.1321938252608011
spearman_productive_activity_frequency,readiness_score_temperature,0.12604172263777633
spearman_productive_activity_duration,spearman_productive_activity_frequency,0.8712462509332798
spearman_productive_activity_duration,spearman_productive_activity_duration,1.0
spearman_productive_activity_duration,activity_inactivity_alerts,-0.1397260780260995
spearman_productive_activity_duration,activity_met_min_inactive,0.10401328803086213
spearman_productive_activity_duration,activity_rest_minutes,0.11581061940523824
spearman_productive_activity_duration,activity_score_move_every_hour,0.1397260780260995
spearman_productive_activity_duration,sleep_bedtime_end_delta,-0.11065456178770006
spearman_productive_activity_duration,sleep_duration,0.14039945961934544
spearman_productive_activity_duration,sleep_light_seconds,0.10374467698021747
spearman_productive_activity_duration,sleep_midpoint_time,0.13920072596302538
spearman_productive_activity_duration,sleep_rem_seconds,0.1058084463147815
spearman_productive_activity_duration,sleep_score,0.21235592398531514
spearman_productive_activity_duration,sleep_score_alignment,0.12381571269538925
spearman_productive_activity_duration,sleep_score_deep,0.10305333349755598
spearman_productive_activity_duration,sleep_score_latency,0.13882649495987892
spearman_productive_activity_duration,sleep_score_rem,0.13973618184975736
spearman_productive_activity_duration,sleep_score_total,0.19724475068950717
spearman_productive_activity_duration,sleep_temperature_delta_celsius,-0.12038217157329262
spearman_productive_activity_duration,sleep_temperature_deviation,-0.12038217157329262
spearman_productive_activity_duration,sleep_total,0.12718230118661075
spearman_productive_activity_duration,readiness_score,0.12416738615302653
spearman_productive_activity_duration,readiness_score_previous_day,0.1389020177890772
spearman_productive_activity_duration,readiness_score_previous_night,0.17861670661786674
spearman_productive_activity_duration,readiness_score_recovery_index,0.14035892456927646
